recency,frequency,monetary,normalized_recency,normalized_frequency,normalized_monetary,fcm_cluster,k_means_cluster,Cluster_name
129,4,3097,4,3,1,2,0,Potential Loyalist
751,2,2283,1,1,1,1,1,Hibernating
189,4,3681,3,3,1,2,0,Potential Loyalist
139,5,11438,4,4,4,3,3,Champions
62,4,4214,5,3,2,0,3,Champions
82,4,4406,4,3,2,2,0,Potential Loyalist
75,3,2377,4,2,1,2,0,Potential Loyalist
310,2,3520,2,1,1,1,1,Hibernating
347,2,4708,2,1,2,4,2,Hibernating
356,2,2995,2,1,1,1,1,Hibernating
88,4,6182,4,3,2,2,0,Potential Loyalist
53,6,7265,5,5,3,0,3,Champions
400,4,15067,2,3,5,2,4,Loyal Customer
604,2,8549,1,1,3,4,2,About to Sleep
95,4,11717,4,3,4,3,4,Loyal Customer
822,1,6585,1,1,2,1,1,Hibernating
642,4,11709,1,3,4,4,2,About to Sleep
90,7,20117,4,5,5,0,3,Champions
144,1,1218,4,1,1,4,2,About to Sleep
343,6,14926,2,5,5,3,0,Potential Loyalist
409,2,10023,2,1,4,4,2,About to Sleep
122,4,9616,4,3,3,3,0,Potential Loyalist
350,6,17099,2,5,5,3,0,Potential Loyalist
565,4,12032,1,3,4,4,2,About to Sleep
956,1,120,1,1,1,1,1,Hibernating
277,5,14139,2,4,5,2,0,Loyal Customer
99,6,11832,4,5,4,0,3,Champions
250,3,6833,3,2,3,2,2,About to Sleep
502,4,7565,1,3,3,4,2,About to Sleep
123,3,4215,4,2,2,2,0,Potential Loyalist
288,5,10823,2,4,4,2,0,Potential Loyalist
581,3,8774,1,2,3,4,2,About to Sleep
338,6,8667,2,5,3,2,0,Potential Loyalist
249,4,10155,3,3,4,3,4,Loyal Customer
175,4,11534,3,3,4,3,4,Loyal Customer
156,5,11630,3,4,4,3,0,Potential Loyalist
113,3,8023,4,2,3,3,4,Loyal Customer
385,3,5673,2,2,2,4,2,About to Sleep
166,4,5345,3,3,2,2,0,Potential Loyalist
158,2,2658,3,1,1,1,1,Hibernating
520,1,1024,1,1,1,1,1,Hibernating
22,3,11221,5,2,4,0,4,Loyal Customer
457,3,4282,1,2,2,1,1,Hibernating
212,5,10187,3,4,4,3,0,Potential Loyalist
153,3,14305,3,2,5,3,4,Loyal Customer
94,5,13245,4,4,4,3,3,Champions
195,5,8007,3,4,3,2,0,Potential Loyalist
264,4,7148,3,3,3,2,0,Potential Loyalist
263,6,11608,3,5,4,3,0,Potential Loyalist
301,1,713,2,1,1,1,1,Hibernating
950,1,3850,1,1,1,1,1,Hibernating
124,5,19091,4,4,5,3,3,Champions
418,5,11515,2,4,4,2,0,Potential Loyalist
94,2,2427,4,1,1,4,2,About to Sleep
506,5,12882,1,4,4,2,0,About to Sleep
162,5,6100,3,4,2,2,0,Potential Loyalist
48,2,1646,5,1,1,2,0,Potential Loyalist
98,3,5238,4,2,2,2,0,Potential Loyalist
18,6,21192,5,5,5,0,3,Champions
192,8,25210,3,5,5,3,3,Champions
140,4,10021,4,3,4,3,4,Loyal Customer
528,3,9818,1,2,4,4,2,About to Sleep
736,2,4930,1,1,2,1,1,Hibernating
344,3,7878,2,2,3,4,2,About to Sleep
507,4,8086,1,3,3,4,2,About to Sleep
920,3,5330,1,2,2,1,1,Hibernating
222,3,8240,3,2,3,2,2,About to Sleep
477,3,1388,1,2,1,1,1,Hibernating
320,3,9841,2,2,4,4,2,About to Sleep
35,3,8104,5,2,3,0,4,Loyal Customer
37,5,10590,5,4,4,0,3,Champions
808,1,1755,1,1,1,1,1,Hibernating
377,2,2962,2,1,1,1,1,Hibernating
75,6,14295,4,5,5,0,3,Champions
103,6,13845,4,5,5,0,3,Champions
1013,1,927,1,1,1,1,1,Hibernating
118,4,7331,4,3,3,3,0,Potential Loyalist
76,6,17485,4,5,5,0,3,Champions
187,2,7206,3,1,3,4,2,About to Sleep
492,1,1115,1,1,1,1,1,Hibernating
318,3,5053,2,2,2,4,2,About to Sleep
10,3,9734,5,2,4,0,4,Loyal Customer
198,2,1928,3,1,1,1,1,Hibernating
501,2,2108,1,1,1,1,1,Hibernating
32,5,14113,5,4,5,0,3,Champions
221,3,5197,3,2,2,4,2,About to Sleep
29,2,1345,5,1,1,2,0,Potential Loyalist
75,6,13362,4,5,4,0,3,Champions
95,4,11264,4,3,4,3,4,Loyal Customer
116,2,2932,4,1,1,4,2,About to Sleep
158,4,5130,3,3,2,2,0,Potential Loyalist
292,1,1206,2,1,1,1,1,Hibernating
46,6,21099,5,5,5,0,3,Champions
680,3,10837,1,2,4,4,2,About to Sleep
465,3,14770,1,2,5,4,2,About to Sleep
120,4,6504,4,3,2,2,0,Potential Loyalist
80,6,13874,4,5,5,0,3,Champions
347,4,5204,2,3,2,4,2,About to Sleep
588,7,19562,1,5,5,2,0,Potential Loyalist
186,6,11799,3,5,4,3,0,Potential Loyalist
537,3,12353,1,2,4,4,2,About to Sleep
158,3,6562,3,2,2,4,2,About to Sleep
334,3,9422,2,2,3,4,2,About to Sleep
232,4,7118,3,3,3,2,0,Potential Loyalist
377,5,7059,2,4,3,2,0,Potential Loyalist
765,1,1492,1,1,1,1,1,Hibernating
102,5,11238,4,4,4,3,3,Champions
860,1,450,1,1,1,1,1,Hibernating
352,2,4548,2,1,2,4,2,Hibernating
72,5,12560,4,4,4,3,3,Champions
118,5,8550,4,4,3,3,3,Champions
133,2,3974,4,1,2,4,2,About to Sleep
229,2,7171,3,1,3,4,2,About to Sleep
32,4,8984,5,3,3,0,3,Champions
43,4,14822,5,3,5,0,4,Champions
209,6,10963,3,5,4,3,0,Potential Loyalist
212,10,12048,3,5,4,3,0,Potential Loyalist
274,3,8242,2,2,3,4,2,About to Sleep
360,4,6715,2,3,3,2,0,About to Sleep
131,6,14903,4,5,5,0,3,Champions
674,2,6268,1,1,2,1,1,Hibernating
322,4,5431,2,3,2,4,2,About to Sleep
154,6,14304,3,5,5,3,3,Champions
165,4,9965,3,3,4,3,4,Loyal Customer
4,2,6817,5,1,3,3,4,Loyal Customer
52,6,18845,5,5,5,0,3,Champions
135,3,14886,4,2,5,3,4,Loyal Customer
703,2,8190,1,1,3,4,2,About to Sleep
694,3,3862,1,2,1,1,1,Hibernating
351,2,2011,2,1,1,1,1,Hibernating
266,2,7338,3,1,3,4,2,About to Sleep
352,2,3570,2,1,1,1,1,Hibernating
397,4,7927,2,3,3,2,0,About to Sleep
7,3,7597,5,2,3,0,4,Loyal Customer
216,2,3552,3,1,1,1,1,Hibernating
34,5,8014,5,4,3,0,3,Champions
212,4,5400,3,3,2,2,0,Potential Loyalist
44,6,12271,5,5,4,0,3,Champions
769,2,2103,1,1,1,1,1,Hibernating
345,2,5709,2,1,2,4,2,Hibernating
219,3,5326,3,2,2,4,2,About to Sleep
126,2,5676,4,1,2,4,2,About to Sleep
303,3,7849,2,2,3,4,2,About to Sleep
390,3,7056,2,2,3,4,2,About to Sleep
279,3,6998,2,2,3,4,2,About to Sleep
452,2,3248,2,1,1,1,1,Hibernating
286,4,11435,2,3,4,2,0,About to Sleep
106,5,8822,4,4,3,3,3,Champions
344,2,4245,2,1,2,4,2,Hibernating
468,4,11904,1,3,4,4,2,About to Sleep
945,1,1780,1,1,1,1,1,Hibernating
602,6,11502,1,5,4,2,0,Potential Loyalist
387,5,11982,2,4,4,2,0,Potential Loyalist
517,2,7721,1,1,3,4,2,About to Sleep
353,1,3330,2,1,1,1,1,Hibernating
327,4,4039,2,3,2,4,2,About to Sleep
204,2,1884,3,1,1,1,1,Hibernating
313,4,6812,2,3,3,2,0,About to Sleep
331,1,1626,2,1,1,1,1,Hibernating
208,2,5576,3,1,2,4,2,About to Sleep
73,3,4850,4,2,2,2,0,Potential Loyalist
459,4,19809,1,3,5,4,2,About to Sleep
95,2,5503,4,1,2,4,2,About to Sleep
